,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
0,red hot chili peppers,by the way,0,1f2V8U1BiWaC9aJWmpOARe,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4
1,thirty seconds to mars,the kill (bury me),0,54bzhkAeWNCzl6Reh4h8pV,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,231533,3
2,muse,uprising,0,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
3,limp bizkit,rollin' (air raid vehicle),0,3IV4swNduIRunHREK80owz,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,213760,4
4,rise against,savior,0,3asFGFY3uLjMDmML1p0tYm,0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.548,242280,4
5,stone sour,through glass,0,5NeIONQWJ25uPylJBJiO4c,0.545,0.753,3,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,282947,4
6,breaking benjamin,the diary of jane - single version,0,0faXHILILebCGnJBPU6KJJ,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547,4
7,arctic monkeys,i bet you look good on the dancefloor,0,3DQVgcqaP3iSMbaKsd57l5,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,173680,4
8,korn,falling away from me,0,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,4,-7.036,1,0.041,0.00014,0.00124,0.271,0.17,104.102,270920,4
9,godsmack,i stand alone,0,44NRdYQw7P0GWuiunRv3hr,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040,4
10,audioslave,show me how to live,0,1Qdnvn4XlmZANCVy3XjrQo,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840,4
11,muse,plug in baby,0,429MqIq5nGH32feyRZHunv,0.408,0.965,2,-4.232,1,0.05,6.94e-06,0.000402,0.11,0.349,136.018,218000,4
12,deftones,change (in the house of flies) - in the house of flies lp version,0,51c94ac31swyDQj9B3Lzs3,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4
13,a perfect circle,judith,0,5KDNFlHAdDJ84fhK27c35X,0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,247267,3
14,dillon francis,white boi,0,3udE8om48KO3q9nbyLAEnq,0.83,0.495,6,-6.939,1,0.052,0.0984,0.0,0.0906,0.633,127.965,185282,4
15,coastcity,pa la calle,0,5MS3LTJ8zXkxMobDgFhvMC,0.695,0.884,0,-6.279,1,0.131,0.117,0.0,0.104,0.854,74.992,243487,4
16,dalex,pa mí,0,7g8YaUQABMal0zWe7a2ijz,0.688,0.62,11,-8.029,0,0.22,0.753,5.32e-06,0.157,0.727,170.011,360960,4
17,bia,yakwtfgo (feat. kali uchis),0,6rrP1mBTbBkJCP7FsBe0SM,0.812,0.748,5,-5.959,0,0.139,0.00397,0.0,0.174,0.158,132.035,162733,4
18,melii,como si na,0,7LAK1HqDfxTt7HvSJ0px2M,0.716,0.766,9,-4.133,1,0.173,0.219,0.0,0.244,0.739,160.1,170998,4
19,mariah,blah,0,1i1DjsrUwjbDeZd8vLNQtK,0.723,0.687,11,-4.632,0,0.2,0.0255,0.000207,0.124,0.777,173.75,188440,4
20,a.chal,love n hennessy remix (feat. 2 chainz & nicky jam),0,5h2XkWkICbzAXVMAvz7mQY,0.928,0.402,8,-7.569,0,0.452,0.0261,0.0,0.0804,0.62,139.998,253714,4
21,sammi sanchez,pum pum,0,2dCRe6mP0EhwrU6illAq5s,0.736,0.905,4,-1.49,0,0.0567,0.0749,0.000117,0.12,0.611,93.013,185744,4
22,messiah,no gratis,0,0YNZO6VgdOUDvB5T2yMGnL,0.777,0.546,7,-9.504,1,0.207,0.425,0.0,0.0809,0.952,147.173,208800,4
23,leslie grace,díganle - tainy remix,0,1l89iNLbzfFN9TsWJORolB,0.84,0.789,1,-4.695,0,0.0949,0.102,0.0,0.309,0.619,92.018,211438,4
24,pharrell williams,sangria wine,0,6XlSyYFTU1nodeWwwzVgTV,0.831,0.713,1,-3.646,0,0.094,0.181,0.0,0.0572,0.69,132.109,202853,4
25,danileigh,all day,0,1gxrzphu3xwlZAQhtvNBMK,0.825,0.481,2,-8.6,1,0.0396,0.0797,0.0,0.239,0.761,121.046,198387,4
26,spiff tv,just as i am,0,1iKMpywaaihrz8gqaRqzp1,0.682,0.751,8,-5.812,0,0.0675,0.235,0.0,0.11,0.708,129.937,224413,4
27,paula deanda,don't werk,0,1GXwLx1iRQWDiyC8lxzTbL,0.703,0.617,7,-8.732,1,0.0731,0.108,5.61e-05,0.271,0.435,123.159,133120,4
28,snow tha product,nuestra cancion pt. 2 (feat. arcángel),0,6fXcO9KlWgg4zAgEHDg84i,0.493,0.825,8,-4.056,1,0.0798,0.0079,0.0,0.129,0.621,99.866,215004,4
29,trinidad cardona,dinero - english version,0,4qc02m9OMD3ZBKt6lRssmM,0.704,0.771,2,-4.713,1,0.0495,0.0086,0.0,0.108,0.416,120.002,161093,4
30,ne-yo,nights like these,0,5wV6xSCqRD8kqV6daq7S7w,0.494,0.729,2,-4.934,1,0.161,0.133,0.0,0.143,0.421,78.833,204453,4
31,bruno mars,finesse (remix) [feat. cardi b],0,3Vo4wInECJQuz9BIBMOu8i,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289,4
32,fancy cars,belong to u,0,6pG8mlZHcSt14eQCOQxA2N,0.631,0.771,1,-5.78,1,0.0517,0.628,3.65e-05,0.0946,0.466,100.931,202574,4
33,salaam remi,sunny daze,0,3whp8PfpRw1xqzz7rbIzN4,0.853,0.715,7,-6.177,1,0.0762,0.565,0.0106,0.0716,0.844,92.377,167823,4
34,n.o.r.e.,"uno más feat. pharrell williams, miguel, wiz khalifa, j alvarez (remix)",0,7FwMNdIlYuDOUmIi2GuGpr,0.8,0.837,7,-4.488,1,0.0991,0.0652,4.74e-05,0.0699,0.813,105.026,241136,4
35,lil eddie,island,0,59PbH88Gh5egXh4gBD9LV0,0.723,0.791,2,-4.863,0,0.055,0.122,6.98e-05,0.211,0.484,110.043,193933,4
36,destiny's child,"independent women, pt. 1",0,69XUpOpjzDKcfdxqZebGiI,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4
37,juan luis guerra 4.40,la bilirrubina - en vivo estadio olímpico de república dominicana/2012,0,1GT0Q2ZTeKtIBueYKr4vhr,0.585,0.977,1,-3.57,1,0.0615,0.622,0.0,0.328,0.801,138.264,232880,4
38,gipsy kings,bamboleo,0,4EveU9Zb50mjgi5avDNqlK,0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574,203173,4
39,soda stereo,de música ligera,0,2WD9ggmpZE7Wodh3qVVCgg,0.542,0.714,2,-8.045,1,0.028,0.00487,0.298,0.334,0.76,124.26,212893,4
40,café tacvba,la ingrata,0,19ScoKGqnfUggyqOVQjsoH,0.748,0.835,7,-5.731,1,0.0351,0.0854,1.97e-06,0.0365,0.896,142.942,212000,4
41,joe arroyo,rebelión,0,3v32VtMTRZbIQJUFsQpeJD,0.565,0.778,1,-7.07,1,0.0586,0.426,0.0135,0.263,0.815,105.807,287893,4
42,calle 13,latinoamérica,0,1xuYajTJZh8zZrPRmUaagf,0.691,0.805,2,-6.81,0,0.0947,0.59,0.0,0.0975,0.866,142.503,301427,3
43,julio iglesias,"soy un truhán, soy un señor",0,3R8rzNolKgeMo3MQhYFBgu,0.573,0.426,0,-14.448,1,0.0349,0.602,0.0,0.393,0.724,98.719,186707,4
44,gerardo matos rodriguez,la cumparsita,0,6tJ0zwyKkJ9pWXN0XWqLqY,0.57,0.301,7,-13.846,1,0.0518,0.908,0.574,0.123,0.431,118.337,193800,4
45,lola beltrán,paloma negra,0,7cOZAzuSGF7y4pNX35B7yq,0.454,0.257,2,-7.446,1,0.0363,0.916,8.06e-05,0.208,0.464,80.43,195480,3
46,josé alfredo jimenez,el rey,0,4ihZFukyNotzCUtxI4qpu8,0.376,0.374,9,-11.923,1,0.0408,0.587,0.0,0.214,0.867,182.719,129400,4
47,josé feliciano,feliz navidad,0,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,2,-9.004,1,0.0383,0.55,0.0,0.336,0.963,148.837,182067,4
48,the who,my generation - stereo version,0,4u9f8hqstB7iITDJNzKhQx,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,198707,4
49,led zeppelin,whole lotta love,0,0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893,4
50,the beatles,hey jude - remastered 2015,0,0aym2LBJBk9DAYuHHutrIl,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653,4
51,the kinks,you really got me - mono mix,0,6tZdL3Zp8JgrfDbsSeSV1S,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,133933,4
52,the beatles,back in the u.s.s.r. - 2018 mix,0,183Klch3PBWLz2S6zNUVxR,0.51,0.893,9,-9.267,1,0.0342,0.00102,5.85e-05,0.201,0.934,142.657,163467,4
53,steppenwolf,born to be wild - single version,0,3lN8PP6R2IxbLP05QpYXng,0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,212893,4
54,tommy james & the shondells,crimson and clover - single version,0,1vXuYPpkLjn1v06E2EsWQY,0.412,0.59,11,-12.277,1,0.0701,0.255,0.0325,0.177,0.653,85.824,208667,4
55,jimi hendrix,purple haze,0,0wJoRiX5K5BxlqZTolB2LD,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,4
56,the beatles,i saw her standing there - remastered 2009,0,3KiexfmhxHvG5IgAElmTkd,0.491,0.801,4,-9.835,1,0.0361,0.27,0.0,0.0665,0.971,160.109,173947,4
57,simon & garfunkel,the sounds of silence,0,3CepTOU9Y7FezTt0CF3lCw,0.436,0.375,6,-13.856,1,0.0284,0.165,0.0,0.294,0.49,107.386,184880,4
58,the young rascals,good lovin' - single version,0,0XnhQGfqfi5CnZXcONJuI5,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494,150907,4
59,led zeppelin,dazed and confused,0,1RIsAtnYOlo8zGMycNFioq,0.262,0.539,2,-10.264,1,0.0451,0.0919,0.00803,0.0889,0.436,87.197,388453,3
60,the kinks,all day and all of the night - 2014 remastered version,0,1mfV2kv9RwFKVI8kEQlmOJ,0.563,0.915,7,-5.062,1,0.08,0.247,8.46e-05,0.0613,0.71,136.345,142227,4
61,ike & tina turner,river deep - mountain high,0,44BmNSqH9uZV5OfIjGcER3,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,214880,4
62,the lovin' spoonful,summer in the city - remastered,0,7AzFID6u1b3zIWbd9pb8Dk,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461,160307,4
63,the rolling stones,jumpin' jack flash - mono / remastered,0,55LRDFmsuazr533WrtHHW9,0.596,0.901,3,-7.373,1,0.0482,0.0362,0.749,0.0698,0.621,137.359,219467,4
64,jimi hendrix,foxey lady,0,23MrkN7g6Q5U7GLIxNHN1B,0.507,0.847,1,-5.987,0,0.0411,0.0751,0.237,0.372,0.566,98.096,198773,4
65,the rolling stones,"paint it, black - mono",0,1RJeiAIwR9pZBgJA8ndZLL,0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,4
66,the beatles,yesterday - remastered 2009,0,3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,125667,4
67,the moody blues,nights in white satin - single version / mono mix,0,6L5BZEcZmD6RBJnimzlyKr,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,269107,4
68,the searchers,needles and pins - mono,0,6eqKa53ScWczQC1LZQukpu,0.676,0.708,4,-9.412,1,0.0419,0.806,0.0112,0.183,0.885,135.695,176093,4
69,the beatles,revolution - remastered,0,3UDmHZcBTQp8Iu8droNtUl,0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,121.38,205293,4
70,the doors,the end - remastered,0,5UgT7w6zVZjP3oyawMzbiK,0.347,0.302,0,-12.104,1,0.0291,0.163,9.17e-05,0.14,0.0332,105.702,703373,4
71,the beatles,she loves you - mono / remastered,0,0qsS2A3hwicJCLtcaR6JRQ,0.308,0.895,7,-5.157,1,0.0463,0.389,0.0,0.177,0.902,150.109,142653,4
72,jan & dean,surf city - remastered 1990 / stereo remix,0,4ZzXPeOfMXk0iKNQGdlzDq,0.469,0.647,8,-13.913,1,0.0315,0.595,1.65e-06,0.339,0.942,147.878,163027,4
73,the beach boys,i get around (mono) - mono,0,3v9xlH6BpmRbqL7hgNJhfT,0.39,0.625,9,-7.813,0,0.0537,0.36,0.0,0.0663,0.514,144.338,134387,4
74,the beatles,with a little help from my friends - remastered 2009,0,2RnPATK99oGOZygnD2GTO6,0.705,0.515,4,-9.343,1,0.0337,0.365,0.0,0.389,0.803,112.035,164107,4
75,deep purple,hush - 2014 remastered version,0,0NcpDHxwyI39iZhhuMya4j,0.587,0.616,5,-14.234,1,0.0486,0.246,0.162,0.079,0.473,108.838,266240,4
76,the rolling stones,street fighting man,0,7EXgO1bRnEArE58rtrgMWB,0.583,0.855,0,-7.213,1,0.0333,0.1,0.0177,0.262,0.69,128.178,195147,4
77,the beach boys,in my room - remastered,0,62fX8EW16l8St2yL8rMer9,0.341,0.416,11,-9.574,1,0.0265,0.184,6.28e-05,0.0917,0.499,102.886,134133,3
78,the zombies,care of cell 44,0,4KkiRv4s8cVVaOV5NjHA6I,0.395,0.482,7,-10.031,1,0.0285,0.32,0.00717,0.0917,0.334,130.21,237760,4
79,pink floyd,see emily play - 2016 remastered version,0,5JubSv0sa8CKjAslCSH27S,0.439,0.756,2,-7.028,1,0.0381,0.212,0.0,0.122,0.443,123.745,174573,4
80,love,alone again or - 2015 remastered version,0,1XuccRABkfUVB4FjSVhjL1,0.318,0.303,11,-15.572,0,0.0302,0.664,0.000223,0.113,0.226,174.254,197275,4
81,count five,psychotic reaction - rarities version,0,77oq56JTlEBzAH7KNZHvx1,0.355,0.761,11,-6.309,1,0.0978,0.000288,0.0141,0.189,0.685,165.209,189848,4
82,the 13th floor elevators,slip inside this house - stereo lp version,0,4GVRHAwABAV0v63YX9Go0p,0.555,0.694,9,-8.453,0,0.0426,0.101,0.0,0.123,0.602,127.423,482278,4
83,the monks,i hate you,0,5fXiVXswU0XRpMiXrnQ0ya,0.812,0.735,6,-10.911,0,0.118,0.0776,0.184,0.0891,0.496,119.811,237640,4
84,the byrds,eight miles high,0,2BGNomqCxEDcXyxf8bg27k,0.365,0.77,9,-10.492,1,0.0764,0.21,0.136,0.503,0.37,130.603,214640,4
85,faces,ooh la la,0,4lJ6YVXQ0jUk5ILu0PSrA4,0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,214080,4
86,van morrison,crazy love,0,0r6I5tMDusK3ql2n2MKMuY,0.576,0.188,9,-18.755,1,0.0949,0.842,5.28e-05,0.229,0.322,77.461,155453,4
87,dolly parton,wildflowers - remastered,0,27876bQcDNkZhWqvF0zfFN,0.609,0.368,10,-13.338,1,0.0294,0.762,6.28e-06,0.335,0.618,90.373,216573,4
88,chris isaak,wicked game - remastered,0,5lDixe3b2yQDQ18lAUoSWq,0.664,0.552,9,-7.723,1,0.0264,0.746,0.00963,0.0838,0.287,112.52,286880,4
89,carole king,where you lead,0,0APt4t1Dab58sYmGQ4jgij,0.784,0.459,0,-10.446,1,0.0304,0.763,1.29e-06,0.0684,0.931,106.958,200147,4
90,nick drake,pink moon,0,4KROoGIaPaR1pBHPnR3bwC,0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,124001,4
91,jim croce,walkin' back to georgia,0,1y4fbtHSJLqpaQXduQw88e,0.681,0.312,6,-16.173,0,0.0452,0.816,0.000619,0.0935,0.789,128.094,171853,4
92,led zeppelin,going to california,0,70gbuMqwNBE2Y5rkQJE9By,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4
93,neil young,"my my, hey hey (out of the blue)",0,6VltRkmJbCTqgKrTHk4Ulw,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4
94,johnny cash,i walk the line,0,0SHqu1Nlm2Cu6eNbmxHvRA,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,231533,3
95,the beatles,across the universe - remastered 2009,0,4dkoqJrP0L8FXftrMZongF,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
96,fleetwood mac,"dreams (sessions, roughs & outtakes) - 2004 remastered edition",0,0ofHAoxe9vBkTCp2UQIavz,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107,4
97,depeche mode,personal jesus - acoustic version,0,4UCTgh5jvtqoaMX6MAhUNn,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,213760,4
98,"grover washington, jr.",just the two of us (feat. bill withers),0,1ko2lVN0vKGUl9zrU0qSlT,0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.548,242280,4
99,van morrison,and it stoned me,0,3n5iUh2Z6P7cnWins22W0F,0.545,0.753,3,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,282947,4
100,leonard cohen,famous blue raincoat,0,77K5TB5KZmDZCoJCdd1NvE,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547,4
101,george harrison,all things must pass,0,1AGridgU0QAWZykQReGWk5,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,173680,4
102,john lennon,stand by me - remastered,0,3ntrdR24dLkKrzSGRv1FlH,0.468,0.769,4,-7.036,1,0.041,0.00014,0.00124,0.271,0.17,104.102,270920,4
103,peter gabriel,solsbury hill,0,1CM1wOqD2AIjt2MWd31LV2,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040,4
104,emmylou harris,boulder to birmingham - remastered,0,05XNDab0Lhitzqk7tRpOnY,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840,4
105,karen dalton,something on your mind,0,4cmCWVR8RlLYyASMarxU0e,0.408,0.965,2,-4.232,1,0.05,6.94e-06,0.000402,0.11,0.349,136.018,218000,4
106,grateful dead,ripple,0,4aQ8mFkZU6dmHaZOOKdscc,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4
107,the who,who are you,0,23IJ5wLRhEZ9DOuia5mPiZ,0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,247267,3
108,david bowie,changes - 2015 remastered version,0,0LrwgdLsFaWh9VXIjBRe8t,0.83,0.495,6,-6.939,1,0.052,0.0984,0.0,0.0906,0.633,127.965,185282,4
109,creedence clearwater revival,who'll stop the rain,0,2ciMJGCDW70hqq18Vgui68,0.695,0.884,0,-6.279,1,0.131,0.117,0.0,0.104,0.854,74.992,243487,4
110,t. rex,bang a gong (get it on) - remastered version,0,6FsQrRpBLgsrFeAeiQqytm,0.688,0.62,11,-8.029,0,0.22,0.753,5.32e-06,0.157,0.727,170.011,360960,4
111,lynyrd skynyrd,free bird,0,5EWPGh7jbTNO2wakv8LjUI,0.659,0.734,10,-4.008,1,0.046,0.0526,2.48e-06,0.242,0.346,161.971,157461,4
112,the kinks,lola - coca cola version,0,4Tjs8b6jL1s18sjURJtswp,0.716,0.766,9,-4.133,1,0.173,0.219,0.0,0.244,0.739,160.1,170998,4
113,led zeppelin,black dog,0,3qT4bUD1MaWpGrTwcvguhb,0.723,0.687,11,-4.632,0,0.2,0.0255,0.000207,0.124,0.777,173.75,188440,4
114,kiss,black diamond,0,6PmckFG2BhEELc5OM7O7DS,0.928,0.402,8,-7.569,0,0.452,0.0261,0.0,0.0804,0.62,139.998,253714,4
115,tom petty and the heartbreakers,american girl,0,7MRyJPksH3G2cXHN8UKYzP,0.777,0.546,7,-9.504,1,0.207,0.425,0.0,0.0809,0.952,147.173,208800,4
116,pink floyd,brain damage,0,05uGBKRCuePsf43Hfm0JwX,0.84,0.789,1,-4.695,0,0.0949,0.102,0.0,0.309,0.619,92.018,211438,4
117,pink floyd,comfortably numb,0,5HNCy40Ni5BZJFw1TKzRsC,0.831,0.713,1,-3.646,0,0.094,0.181,0.0,0.0572,0.69,132.109,202853,4
118,derek & the dominos,layla - 40th anniversary version / 2010 remastered,0,1PwQXUFoHqyfIuk7ranRh7,0.825,0.481,2,-8.6,1,0.0396,0.0797,0.0,0.239,0.761,121.046,198387,4
119,sex pistols,anarchy in the u.k.,0,3LoDeIbiR12sAznmpNEmKA,0.682,0.751,8,-5.812,0,0.0675,0.235,0.0,0.11,0.708,129.937,224413,4
120,jethro tull,aqualung,0,5UuikgHTxSRFRnC0zXx10i,0.703,0.617,7,-8.732,1,0.0731,0.108,5.61e-05,0.271,0.435,123.159,133120,4
121,the who,won't get fooled again - original album version,0,0cJPLFrlV7TTCyPLupHzcH,0.493,0.825,8,-4.056,1,0.0798,0.0079,0.0,0.129,0.621,99.866,215004,4
122,black sabbath,iron man - remastered version,0,4svkPL62HbvyFgf0nHFXAF,0.704,0.771,2,-4.713,1,0.0495,0.0086,0.0,0.108,0.416,120.002,161093,4
123,rod stewart,maggie may - remastered version,0,1r3kj1yMff7ilIsR7hpvUo,0.494,0.729,2,-4.934,1,0.161,0.133,0.0,0.143,0.421,78.833,204453,4
124,the guess who,american woman - remastered,0,3LQPTJEqOfljGBxmpgUnoC,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289,4
125,fleetwood mac,dreams - 2004 remastered edition,0,0ofHAoxe9vBkTCp2UQIavz,0.631,0.771,1,-5.78,1,0.0517,0.628,3.65e-05,0.0946,0.466,100.931,202574,4
126,pink floyd,"another brick in the wall, pt. 1",0,7K6xMPtAjTuLPNlJMLf5bS,0.853,0.715,7,-6.177,1,0.0762,0.565,0.0106,0.0716,0.844,92.377,167823,4
127,yes,roundabout - remastered version,0,0YveezON7jpiaHA8fnUHxN,0.8,0.837,7,-4.488,1,0.0991,0.0652,4.74e-05,0.0699,0.813,105.026,241136,4
128,blondie,heart of glass - special mix,0,0a4agFmqHXxcZl1nho1BxM,0.723,0.791,2,-4.863,0,0.055,0.122,6.98e-05,0.211,0.484,110.043,193933,4
129,bob dylan,tangled up in blue,0,6Vcwr9tb3ZLO63F8DL8cqu,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027,4
130,rush,2112: overture / the temples of syrinx / discovery / presentation / oracle / soliloquy / grand finale - medley,0,5H8xFHau0x3PI1CssO6EaX,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4
131,sweet,ballroom blitz,0,3Pu3IChaAoa5EjgUBv5F6x,0.585,0.977,1,-3.57,1,0.0615,0.622,0.0,0.328,0.801,138.264,232880,4
132,ram jam,black betty,0,6kooDsorCpWVMGc994XjWN,0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574,203173,4
133,tom petty and the heartbreakers,breakdown,0,5x53pbGk6sbl1BGom19QQ5,0.542,0.714,2,-8.045,1,0.028,0.00487,0.298,0.334,0.76,124.26,212893,4
134,ted nugent,cat scratch fever,0,0SvfyHYDp2uIsHt53LDlI9,0.748,0.835,7,-5.731,1,0.0351,0.0854,1.97e-06,0.0365,0.896,142.942,212000,4
135,bad company,can't get enough - remastered version,0,6n5lHdpuBDdA7pYDpiKzEI,0.565,0.778,1,-7.07,1,0.0586,0.426,0.0135,0.263,0.815,105.807,287893,4
136,zz top,cheap sunglasses,0,2te8SC3btY8aSBtOLTQFie,0.691,0.805,2,-6.81,0,0.0947,0.59,0.0,0.0975,0.866,142.503,301427,3
137,the doobie brothers,china grove,0,7cy1bEJV6FCtDaYpsk8aG6,0.573,0.426,0,-14.448,1,0.0349,0.602,0.0,0.393,0.724,98.719,186707,4
138,boston,foreplay / long time,0,39C5FuZ8C8M0QI8CrMsPkR,0.57,0.301,7,-13.846,1,0.0518,0.908,0.574,0.123,0.431,118.337,193800,4
139,bad company,feel like makin' love - 2015 remastered version,0,3KPwt1LBpt1jVSHz8GXERo,0.454,0.257,2,-7.446,1,0.0363,0.916,8.06e-05,0.208,0.464,80.43,195480,3
140,peter frampton,do you feel like we do,0,0qqRwBkq7oWv6QnIRLfQKe,0.376,0.374,9,-11.923,1,0.0408,0.587,0.0,0.214,0.867,182.719,129400,4
141,the doors,l.a. woman,0,14XWXWv5FoCbFzLksawpEe,0.513,0.831,2,-9.004,1,0.0383,0.55,0.0,0.336,0.963,148.837,182067,4
142,genesis,the lamb lies down on broadway (platinum collection version),0,2Nt7pyRux0CB8i2KB4DMVT,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,198707,4
143,bob dylan,knockin' on heaven's door - remastered,0,6HSXNV0b4M4cLJ7ljgVVeh,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893,4
144,eagles,life in the fast lane - remastered,0,6gXrEUzibufX9xYPk3HD5p,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653,4
145,jethro tull,locomotive breath,0,0MYNeFsKpzBHwrJGfWZysV,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,133933,4
146,neil young,like a hurricane,0,4CqbJHZ6JtVM3MLh41y7JI,0.51,0.893,9,-9.267,1,0.0342,0.00102,5.85e-05,0.201,0.934,142.657,163467,4
147,meat loaf,paradise by the dashboard light,0,2g7gviEeJr6pyxO7G35EWQ,0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,212893,4
148,mötley crüe,dr. feelgood,0,35Aj3CGTmWkjGr4bjYmkk5,0.412,0.59,11,-12.277,1,0.0701,0.255,0.0325,0.177,0.653,85.824,208667,4
149,whitesnake,still of the night - 2017 remastered version,0,40GS2O35HIqhOVCFZZTfFF,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,4
150,cinderella,nobody's fool,0,01Q4wU19hamqnhNjtuvTyI,0.491,0.801,4,-9.835,1,0.0361,0.27,0.0,0.0665,0.971,160.109,173947,4
151,dio,rainbow in the dark,0,2PpNgmrS9mAyrkRAwn6YPq,0.436,0.375,6,-13.856,1,0.0284,0.165,0.0,0.294,0.49,107.386,184880,4
152,ratt,lay it down,0,0d3qwh4HY9w6Ywywj6ksTv,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494,150907,4
153,quiet riot,metal health (bang your head),0,28clONjZmul6FjfO6tZQDE,0.262,0.539,2,-10.264,1,0.0451,0.0919,0.00803,0.0889,0.436,87.197,388453,3
154,mötley crüe,home sweet home,0,1kvq7ksGQWSyRysYYNd6lu,0.563,0.915,7,-5.062,1,0.08,0.247,8.46e-05,0.0613,0.71,136.345,142227,4
