,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
14262,alice cooper,poison,1,5XcZRgJv3zMhTqCyESjQrF,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,266013,4
14263,donna summer,this time i know it's for real,1,6ez4yXpLini3DSbaLR10qZ,0.423,0.834,9,-5.498,0,0.037,0.0129,0.00113,0.164,0.606,113.876,501213,4
14264,michael jackson,smooth criminal,1,2bCQHF9gdG5BNDVuEIEnNk,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,508333,4
14265,deon estus,heaven help me,1,4ihqSCopukVi1gqDseWiLb,0.533,0.964,2,-4.816,1,0.0706,0.000861,0.0169,0.233,0.36,110.959,289972,4
14266,bobby brown,rock wit'cha,1,7BVMXNnQSswMX8IJeZUb5T,0.334,0.854,4,-7.531,0,0.0494,0.00235,0.00114,0.158,0.284,100.175,397768,4
14267,exposé,what you don't know,1,4ke74jHjQAhNMWOs4XWyEr,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.163,0.149,67.197,287400,4
14268,ann wilson and robin zander,surrender to me,1,3l9iNZD6J3nDZMlAhH48Q1,0.512,0.947,9,-5.659,0,0.0401,0.000692,0.114,0.0283,0.612,117.461,256933,4
14269,don henley,the end of the innocence,1,3NWcFiL6oCEagrFiTdDr1m,0.607,0.86,7,-8.994,1,0.0335,0.000354,0.0232,0.263,0.34,99.072,205467,4
14270,soul ii soul,keep on movin',1,7upgDi9C0pQn9HZzGfksJq,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,316867,4
14271,wilson phillips,hold on,1,4VZDv8sASBS8UruUBGTFdk,0.397,0.776,5,-6.339,1,0.0381,0.0983,4.09e-06,0.189,0.127,76.301,239667,4
14272,roxette,it must have been love,1,6kvoHl80mfCVTv7XnZkjQn,0.505,0.631,9,-10.433,0,0.038,0.0203,2.21e-05,0.141,0.835,118.178,237467,4
14273,sinéad o'connor,nothing compares 2 u,1,5GHY1DFWKz3Prg2V0Iodqo,0.263,0.759,0,-7.288,1,0.0431,0.0555,0.0,0.231,0.429,179.904,284496,4
14274,madonna,vogue,1,27QvYgBk0CHOVHthWnkuWt,0.681,0.773,2,-6.051,1,0.058,0.181,1.84e-05,0.311,0.547,120.276,236640,4
14275,mariah carey,vision of love,1,0gLQ6jhJsyYfl7PrD1RZ7X,0.722,0.54,0,-14.025,1,0.0303,0.028,0.00319,0.133,0.608,131.676,322897,4
14276,phil collins,another day in paradise,1,1NCuYqMc8hKMb4cpNTcJbD,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,308667,4
14277,jon bon jovi,blaze of glory,1,1sUTfgduT0WIQO8kXKXxLC,0.384,0.535,9,-9.939,1,0.0289,0.238,0.00045,0.0533,0.232,132.445,354640,4
14278,bell biv devoe,do me!,1,2uAFR7yPyJVhk45bkIim2C,0.568,0.939,7,-7.127,1,0.0466,0.00267,0.0464,0.0863,0.498,145.999,194840,4
